"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"169",19.991428,20.818571,19.977142,20.594286,329210700,18.461405
"170",20.709999,20.834286,19.442858,19.537144,582055600,17.51375
"171",19.365715,19.652857,18.95857,19.287144,475315400,17.289637
"172",18.858572,18.9,18.571428,18.824286,357644000,16.874718
"173",19.57,19.719999,19.135714,19.530001,371959700,17.507343
"174",19.700001,19.757143,19.107143,19.355715,242971400,17.35111
"175",19.427143,19.914286,19.392857,19.549999,255692500,17.525278
"176",19.832857,19.857143,19.521429,19.6,164040800,17.570095
"177",19.51,19.854286,19.457144,19.83,151830000,17.776274
"178",19.855715,20.084286,19.657143,19.772858,198342900,17.725054
"179",19.865715,20.407143,19.690001,20.131428,266022400,18.046482
"180",20.431429,20.451429,19.914286,20.110001,256720100,18.027277
"181",20.021429,20.255714,19.902857,20.044285,172960200,17.968367
"182",20.162857,20.664286,20.044285,20.592857,284720100,18.460123
"183",20.961428,21.407143,20.950001,21.182858,263040400,18.989023
"184",20.977142,21.888571,20.974285,21.882856,298137700,19.616522
"185",22.067142,22.142857,21.607143,21.824286,243817000,19.56402
"186",21.967142,22.074286,21.76,22.071428,164549700,19.785568
"187",21.92,22.085714,21.821428,21.924286,153775300,19.653664
"188",22.09,22.487143,21.847143,22.334286,209267100,20.021204
"189",22.364286,22.655714,22.27,22.635714,198017400,20.291412
"190",22.540001,22.74,22.43,22.559999,173129600,20.223536
"191",22.571428,22.582857,21.928572,22.32,164239600,20.008396
"192",22.624287,23.082857,22.528572,23.064285,235867800,20.6756
"193",23.355715,23.987143,23.281429,23.987143,208982200,21.502874
"194",24.314285,24.444286,23.811428,23.98,276071600,21.496475
"195",23.935715,23.982857,23.657143,23.827143,166897500,21.359447
"196",24.212856,24.554285,21.887142,23.175714,410998000,20.775484
"197",23.287144,23.897142,23.114286,23.892857,247044000,21.418356
"198",23.997143,24.224285,23.357143,23.854286,269482500,21.38378
"199",23.648571,24.311428,23.592857,24.225714,266957600,21.71674
"200",24.67,24.719999,24.168571,24.678572,281903300,22.122698
"201",24.5,24.884285,24.435715,24.785715,205919000,22.218744
"202",24.891428,24.947144,24.285715,24.345715,322945000,21.824312
"203",24.335714,24.985714,24.280001,24.908571,412374900,22.328878
"204",26.937143,26.942858,26.108572,26.594286,448791000,23.840008
"205",26.544285,26.744286,25.605715,26.561428,322120400,23.810555
"206",26.41,26.557142,25.951429,26.111429,243400500,23.407162
"207",26.469999,26.481428,26.125713,26.385714,176719200,23.653038
"208",26.492857,26.655714,26.385714,26.441429,135138500,23.702988
"209",26.597143,27.052856,26.389999,26.714285,234853500,23.947578
"210",26.804285,27.16,26.421429,27.135714,208327700,24.325365
"211",26.942858,27.157143,25.714285,26.777143,201259100,24.003931
"212",27.030001,27.062857,26.212856,26.838572,250528600,24.058996
"213",26.469999,26.994286,26.32,26.597143,201044200,23.842573
"214",26.721428,27.428572,26.467142,27.398571,238681800,24.560997
"215",27.23,27.525715,26.59,26.614286,248581900,23.857937
"216",26.667143,26.700001,23.967142,25.067142,472594500,22.471025
"217",24.450001,25.017143,23.601429,23.624287,381595200,21.177595
"218",23.611429,23.957144,21.518572,21.965714,442266300,19.690805
"219",22.978571,24.425714,21.965714,24.280001,434861700,21.765409
"220",25.308571,25.367144,23.391428,23.73,362292000,21.272366
"221",23.77,24.227142,22.9,23.471428,371852600,21.040573
"222",23.614286,23.860001,22.761429,23.77,345873500,21.308224
"223",23.728571,24.028572,23.157143,23.421429,288607200,20.995754
"224",23.667143,24.54143,23.361429,24.121429,385910700,21.623259
"225",23.691429,24.621429,23.524286,24.065714,304452400,21.573313
"226",24.571428,24.578571,24.25,24.505714,116439400,21.967743
"227",24.798571,25.324286,24.621429,24.648571,326438700,22.09581
"228",25.031429,25.112858,24.287144,24.972857,329257600,22.386503
"229",25.26,25.799999,25.049999,25.745714,287728000,23.079321
"230",25.632856,26.452858,25.592857,26.327143,262731700,23.600533
"231",26.762857,26.814285,25.671429,26.031429,296950500,23.335445
"232",25.98,26.305714,25.385714,25.551428,240367400,22.905157
"233",25.307142,25.842857,25.284286,25.687143,193449900,23.026812
"234",26.127142,26.571428,26.058571,26.5,223100500,23.755489
"235",26.598572,27.157143,26.588572,27.135714,224952700,24.325365
"236",27.219999,27.855715,26.862858,27.757143,266516600,24.882427
"237",27.655714,27.951429,27.527143,27.744286,180594400,24.870907
"238",27.821428,28.118572,26.77,26.934286,277731300,24.144796
