AAPL (APPLE INC),171.51,+0.40,
Jan 28 2018 @ 22:49 ET,Bid,171.39,Ask,171.40,Size,2x2,Vol,39143011,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Jan 146.00 (AAPL1826A146-J),0.0,0.0,23.25,27.55,0,0,18 Jan 146.00 (AAPL1826M146-J),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-K),0.0,0.0,23.25,27.55,0,0,18 Jan 146.00 (AAPL1826M146-K),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-O),0.0,0.0,23.00,27.55,0,0,18 Jan 146.00 (AAPL1826M146-O),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-OG),0.0,0.0,22.60,27.60,0,0,18 Jan 146.00 (AAPL1826M146-OG),0.0,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-P),0.0,0.0,23.25,26.40,0,0,18 Jan 146.00 (AAPL1826M146-P),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-S),0.0,0.0,23.25,27.55,0,0,18 Jan 146.00 (AAPL1826M146-S),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-X),0.0,0.0,23.25,27.55,0,0,18 Jan 146.00 (AAPL1826M146-X),0.05,0.0,0.0,0.13,0,475,
18 Jan 146.00 (AAPL1826A146-Y),0.0,0.0,24.25,26.40,0,0,18 Jan 146.00 (AAPL1826M146-Y),0.05,0.0,0.0,0.13,0,475,
18 Jan 147.00 (AAPL1826A147),23.50,-3.45,23.35,25.40,5,85,18 Jan 147.00 (AAPL1826M147),0.01,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-3),0.0,0.0,22.25,26.55,0,85,18 Jan 147.00 (AAPL1826M147-3),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-4),23.50,0.0,23.35,25.40,5,85,18 Jan 147.00 (AAPL1826M147-4),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-8),0.0,0.0,22.00,26.80,0,85,18 Jan 147.00 (AAPL1826M147-8),0.01,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-A),26.95,0.0,22.25,25.75,0,85,18 Jan 147.00 (AAPL1826M147-A),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-B),0.0,0.0,22.00,26.80,0,85,18 Jan 147.00 (AAPL1826M147-B),0.21,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-E),26.95,0.0,23.35,25.40,0,85,18 Jan 147.00 (AAPL1826M147-E),0.08,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-I),0.0,0.0,22.25,26.15,0,85,18 Jan 147.00 (AAPL1826M147-I),0.0,0.0,0.0,0.12,0,324,
